date,engine,prompt_id,rank,mentioned,cited,correct,answer_url,notes
2026-08-14,chatgpt_search_retrieval,P01,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O04,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O05,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O06,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O07,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O08,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O09,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O10,0,0,0,1,,real_day0; expected_evidence=0; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O11,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O12,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O13,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O14,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O15,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O16,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O17,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O18,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O19,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,O20,0,0,0,1,,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B01,0,1,1,1,https://www.tonerymaxim.sk/kompatibilne-tonery,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B02,0,1,1,1,https://www.tonerymaxim.sk/tlaciarne,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B03,0,0,0,1,,real_day0; expected_evidence=0; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B04,0,1,1,1,https://www.tonerymaxim.sk/poradna/ako-najst-toner-podla-oem-kodu,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B05,0,1,1,1,https://www.tonerymaxim.sk/poradna/kompatibilny-alebo-originalny-toner,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B06,0,0,0,1,,real_day0; expected_evidence=0; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B07,0,1,1,1,https://www.tonerymaxim.sk/poradna/co-znamena-vytaznost-tonera,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B08,0,1,1,1,https://www.tonerymaxim.sk/poradna/toner-alebo-opticky-valec,real_day0; expected_evidence=1; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B09,0,0,0,1,,real_day0; expected_evidence=0; no_wrong_product_observed
2026-08-14,chatgpt_search_retrieval,B10,0,1,1,1,https://www.tonerymaxim.sk/tonery,real_day0; expected_evidence=1; no_wrong_product_observed
